Date,Open,High,Low,Close,Adj Close,Volume
2023-03-05,0.1263040006160736,0.12630599737167358,0.12608300149440765,0.12608300149440765,0.12608300149440765,139581
2023-03-06,93.39739227294922,96.758544921875,86.00251007080078,87.78095245361328,87.78095245361328,908375
2023-03-07,87.78150939941406,89.71176147460938,78.70842742919922,85.22114562988281,85.22114562988281,535028
2023-03-08,85.22132873535156,89.00049591064453,75.79986572265625,79.79052734375,79.79052734375,410425
2023-03-09,79.79047393798828,81.39994049072266,68.26343536376953,75.6289291381836,75.6289291381836,585235
2023-03-10,75.62837982177734,86.13915252685547,68.99971771240234,76.96381378173828,76.96381378173828,426846
2023-03-11,76.96208953857422,80.21454620361328,69.19662475585938,76.08383178710938,76.08383178710938,273948
2023-03-12,76.0716323852539,77.66983032226562,70.86507415771484,73.4541244506836,73.4541244506836,263940
2023-03-13,73.45674133300781,87.08187866210938,72.47088623046875,79.59539031982422,79.59539031982422,411044
2023-03-14,79.59341430664062,89.01111602783203,77.23129272460938,83.40251159667969,83.40251159667969,434609
2023-03-15,83.39913177490234,88.59481811523438,77.49696350097656,80.202880859375,80.202880859375,401898
2023-03-16,80.20622253417969,86.96678924560547,77.1725082397461,79.1722183227539,79.1722183227539,297732
2023-03-17,79.16961669921875,81.61650848388672,71.20162963867188,74.81820678710938,74.81820678710938,375079
2023-03-18,74.81459045410156,80.20494079589844,72.15459442138672,75.99421691894531,75.99421691894531,471304
2023-03-19,75.99345397949219,81.20211791992188,74.87114715576172,75.27085876464844,75.27085876464844,333562
2023-03-20,75.27039337158203,90.12742614746094,73.20101928710938,84.09535217285156,84.09535217285156,352201
2023-03-21,84.0997543334961,86.05719757080078,78.13916015625,80.21420288085938,80.21420288085938,264311
2023-03-22,80.21526336669922,93.22234344482422,76.10741424560547,78.9530029296875,78.9530029296875,405135
2023-03-23,78.94834899902344,80.03680419921875,71.13774108886719,72.0453872680664,72.0453872680664,380826
2023-03-24,72.0482177734375,76.7667465209961,69.21388244628906,73.70584869384766,73.70584869384766,202908
2023-03-25,73.70653533935547,76.4595947265625,70.11627960205078,71.3975601196289,71.3975601196289,164965
2023-03-26,71.39801025390625,74.56117248535156,66.681884765625,70.0046615600586,70.0046615600586,311783
2023-03-27,70.00559997558594,74.01375579833984,66.38200378417969,69.2655029296875,69.2655029296875,343110
2023-03-28,69.26525115966797,71.7064208984375,62.9245491027832,66.39286041259766,66.39286041259766,325359
2023-03-29,66.39039611816406,68.7621841430664,61.3167610168457,65.07600402832031,65.07600402832031,417728
2023-03-30,65.07676696777344,67.49397277832031,61.12220764160156,66.17485046386719,66.17485046386719,425679
2023-03-31,66.17585754394531,69.37165069580078,58.457157135009766,62.90148162841797,62.90148162841797,931389
2023-04-01,62.9004020690918,65.87051391601562,57.48564910888672,57.9219970703125,57.9219970703125,822089
2023-04-02,61.3764762878418,63.97246170043945,55.95335006713867,59.82282257080078,59.82282257080078,789659
2023-04-03,59.8218994140625,63.42504119873047,56.57408905029297,59.85470199584961,59.85470199584961,992912
2023-04-04,59.85392761230469,60.57318115234375,55.79155731201172,59.764915466308594,59.764915466308594,776026
2023-04-05,59.76400375366211,59.81098556518555,56.92045974731445,58.56660461425781,58.56660461425781,698589
2023-04-06,58.568965911865234,65.52669525146484,57.357295989990234,60.57634353637695,60.57634353637695,843203
2023-04-07,60.57310485839844,67.70330810546875,57.086124420166016,57.08636474609375,57.08636474609375,785686
2023-04-08,57.08493423461914,64.41954040527344,56.613189697265625,60.37896728515625,60.37896728515625,730224
2023-04-09,60.38072204589844,64.72042846679688,50.9537467956543,55.903602600097656,55.903602600097656,1184341
2023-04-10,55.904815673828125,59.94796371459961,53.63507080078125,58.73202133178711,58.73202133178711,983641
2023-04-11,58.735008239746094,64.88928985595703,57.313087463378906,61.2408561706543,61.2408561706543,960496
2023-04-12,61.243011474609375,65.28136444091797,59.73049545288086,61.350196838378906,61.350196838378906,777568
2023-04-13,61.1715087890625,64.8582992553711,59.73049545288086,62.97071075439453,62.97071075439453,817120
2023-04-14,62.97404861450195,63.635650634765625,58.51640701293945,62.00047302246094,62.00047302246094,809937
2023-04-15,62.00090408325195,63.22364807128906,58.740478515625,59.550899505615234,59.550899505615234,728064
2023-04-16,59.55042266845703,61.434017181396484,57.16764831542969,57.288639068603516,57.288639068603516,575366
2023-04-17,57.28904342651367,58.99856948852539,53.06570053100586,57.44808578491211,57.44808578491211,952398
2023-04-18,57.44607162475586,58.517921447753906,53.62467956542969,55.8162841796875,55.8162841796875,913543
